team,o_efg,o_tov,o_rb,o_ftfga,d_efg,d_tov,d_rb,d_ftfga,playoffs
Milwaukee Bucks,55,12,20.8,19.7,50.3,11.5,80.3,16.2,1
Golden State Warriors,56.5,12.6,22.5,18.2,50.8,11.7,77.1,20.5,1
Toronto Raptors,54.3,12.4,21.9,19.8,50.9,13.1,77.1,19,1
Utah Jazz,53.8,13.4,22.9,21.7,50.7,12.4,80.3,18.9,1
Houston Rockets,54.2,12,22.8,22.1,52.5,13.4,74.4,21,1
Portland Trail Blazers,52.8,12.1,26.6,21,51.6,11,77.9,19.5,1
Denver Nuggets,52.7,11.9,26.6,17.5,52.1,12.3,78,19.4,1
Boston Celtics,53.4,11.5,21.6,17.3,51.4,13.4,77,19.8,1
Oklahoma City Thunder,51.4,11.7,26,19,52.3,14.4,78.2,20.6,1
Indiana Pacers,53,12.4,21.9,18.2,51.6,14.1,76.2,18.4,1
Philadelphia 76ers,53.2,12.9,24.5,24.1,51.2,11.1,78.6,20.6,1
San Antonio Spurs,53.4,11,21,19.4,52.8,11,79.4,17,1
Los Angeles Clippers,52.9,12.7,22,25.8,51.4,11.4,76,22.4,1
Orlando Magic,51.8,11.9,22,16.8,51.5,11.8,79.7,18.6,1
Brooklyn Nets,52,13,23.8,21.1,51.2,11.6,76.4,19,1
Miami Heat,51.5,13.1,24.8,17.2,51,12.7,77.6,20.1,0
Detroit Pistons,50.9,12.3,24.8,19.5,52.6,12.8,78.7,21.1,1
Sacramento Kings,52.4,11.5,23.1,17.7,53.3,13.6,75.5,20.7,0
Dallas Mavericks,51.9,12.7,22.7,21.6,52.2,11.6,77.5,19.1,0
Minnesota Timberwolves,51.1,11.4,24.6,21,53.8,12.9,74.9,19,0
New Orleans Pelicans,52.9,12.6,24.1,19.3,53.2,11.6,76.8,19.3,0
Charlotte Hornets,51.4,10.9,21.7,20.5,53.8,12.1,77.1,17.9,0
Los Angeles Lakers,52.7,13.4,22.2,18,51.6,12.2,76.4,19.2,0
Memphis Grizzlies,50.8,12.9,20,21,52.1,13.9,77.6,23.2,0
Washington Wizards,53.1,12.3,21.3,20.4,54.6,13.5,74.1,19.9,0
Atlanta Hawks,52.2,14.3,24.7,19.2,54.1,12.8,76.4,23.7,0
Chicago Bulls,50.5,12.7,19.4,18.4,54.1,11.9,77.3,18.8,0
Phoenix Suns,51.4,13.8,20.5,20.2,54.5,13.5,72.5,23.6,0
New York Knicks,49,12.4,22.1,20.5,53.3,11.7,76.1,20.3,0
Cleveland Cavaliers,50.3,12.2,23.7,18.7,56.4,11.5,77,18.1,0
